,meastype,gas,unit,sector_number,category,classification,source,target,type,subcategory,region,tdetail,mmsys,IPCC2006,Reference 2006,IPCC1997,Reference 1997,option,measure,variableUID,,,
43624,CLIMA,no gas,%,3.B.1.4.1,Buffalo,CH4 Emissions,,Cool,,,,,,,,,,,Allocation by climate region,A54EEBB6-0BF6-4D64-B0F9-A20AC9ADCF56,,,
436510,CLIMA,no gas,%,3.B.1.4.1,Buffalo,CH4 Emissions,,Temperate,,,,,,,,,,,Allocation by climate region,F1739291-CD8D-43D7-8E66-D9A4F4F5E8CB,,,
43681,CLIMA,no gas,%,3.B.1.4.3,Deer,Tier 2,Pasture  range and paddock,Cool,,,,,,,,,,,Allocation by climate region,C65C5FA1-EB2C-4574-8E3C-499B448D89E1,,,
43784,CLIMA,no gas,%,3.B.1.4.3,Deer,Tier 2,Solid storage and dry lot,Cool,,,,,,,,,,,Allocation by climate region,D102D0C5-0DEA-4B86-9537-096E7CB05A8B,,,
4366,CLIMA,no gas,%,3.B.1.4.3,Deer,Tier 2,Other,Cool,,,,,,,,,,,Allocation by climate region,8934B670-1F77-48C8-97A7-0C9DCF4BB4A9,,,
43973,CLIMA,no gas,%,3.B.1.4.3,Deer,CH4 Emissions,,Cool,,,,,,,,,,,Allocation by climate region,26BAC7BB-378D-44F3-B9E6-F2B51B744728,,,
44153,CLIMA,no gas,%,3.B.1.4.4,Goats,Tier 2,Pasture  range and paddock,Cool,,,,,,,,,,,Allocation by climate region,CDA5B303-9459-485A-A846-407F94293AE6,,,
445110,CLIMA,no gas,%,3.B.1.4.4,Goats,Tier 2,Solid storage and dry lot,Cool,,,,,,,,,,,Allocation by climate region,98392F94-E089-45B4-8180-D5A91D8A7A51,,,
4407,CLIMA,no gas,%,3.B.1.4.4,Goats,Tier 2,Other,Cool,,,,,,,,,,,Allocation by climate region,ECD7AEBA-7F96-47FC-AC59-448CC997D24E,,,
4443,CLIMA,no gas,%,3.B.1.4.4,Goats,Tier 2,Pasture  range and paddock,Temperate,,,,,,,,,,,Allocation by climate region,516A71B4-BDAD-445F-9D80-FA26FA2AC953,,,
44739,CLIMA,no gas,%,3.B.1.4.4,Goats,Tier 2,Solid storage and dry lot,Temperate,,,,,,,,,,,Allocation by climate region,F151E23C-98B6-460F-B2D2-64D09FDB724D,,,
44776,CLIMA,no gas,%,3.B.1.4.4,Goats,Tier 2,Solid storage and dry lot,Warm,,,,,,,,,,,Allocation by climate region,FE6FC3F7-A2AE-439E-9602-86FBD8758823,,,
44024,CLIMA,no gas,%,3.B.1.4.4,Goats,Tier 2,Liquid system,Cool,,,,,,,,,,,Allocation by climate region,DDDD82EF-244D-46DB-A18C-B117F1C47C9B,,,
458910,CLIMA,no gas,%,3.B.1.4.4,Goats,CH4 Emissions,,Cool,,,,,,,,,,,Allocation by climate region,030365D5-B1F4-4DBD-9C7E-280E3A677572,,,
4603,CLIMA,no gas,%,3.B.1.4.4,Goats,CH4 Emissions,,Temperate,,,,,,,,,,,Allocation by climate region,24E1076B-F944-48EB-9BF7-F26E8AF60A18,,,
46057,CLIMA,no gas,%,3.B.1.4.4,Goats,CH4 Emissions,,Warm,,,,,,,,,,,Allocation by climate region,7C46552A-3D60-4E32-A213-4BD3CA0302CF,,,
4610,CLIMA,no gas,%,3.B.1.4.5,Horses,Tier 2,Digesters,Cool,,,,,,,,,,,Allocation by climate region,02C4D098-FA37-49D1-94EB-A8EDCBAEA426,,,
46346,CLIMA,no gas,%,3.B.1.4.5,Horses,Tier 2,Pasture  range and paddock,Cool,,,,,,,,,,,Allocation by climate region,BA16D2AA-049A-4DA3-9E58-ED813556EC8A,,,
46706,CLIMA,no gas,%,3.B.1.4.5,Horses,Tier 2,Solid storage and dry lot,Cool,,,,,,,,,,,Allocation by climate region,C025E80B-6300-47AC-890A-369C1A138BE6,,,
461510,CLIMA,no gas,%,3.B.1.4.5,Horses,Tier 2,Other,Cool,,,,,,,,,,,Allocation by climate region,A24ACB76-F0E0-47E3-BC7B-C6ED58DDB0AC,,,
460610,CLIMA,no gas,%,3.B.1.4.5,Horses,Tier 2,Daily spread,Cool,,,,,,,,,,,Allocation by climate region,36CA8B99-EA46-4815-828F-E5F9811FC0C6,,,
460910,CLIMA,no gas,%,3.B.1.4.5,Horses,Tier 2,Daily spread,Temperate,,,,,,,,,,,Allocation by climate region,6DD1E379-E4EE-47E9-BFB1-52BB24DCE814,,,
461210,CLIMA,no gas,%,3.B.1.4.5,Horses,Tier 2,Liquid system,Cool,,,,,,,,,,,Allocation by climate region,78899734-1040-4ABD-AE92-3E654D463F02,,,
4614,CLIMA,no gas,%,3.B.1.4.5,Horses,Tier 2,Liquid system,Temperate,,,,,,,,,,,Allocation by climate region,939ECE56-1E97-4D97-A9B9-3F2852BBD1E6,,,
465210,CLIMA,no gas,%,3.B.1.4.5,Horses,Tier 2,Pasture  range and paddock,Temperate,,,,,,,,,,,Allocation by climate region,CB4E07CD-7B22-4EB7-8351-ED6ADA2BB2CA,,,
46869,CLIMA,no gas,%,3.B.1.4.5,Horses,Tier 2,Solid storage and dry lot,Temperate,,,,,,,,,,,Allocation by climate region,0F2E112C-F13E-41DB-A578-58FA0F4EE103,,,
4657,CLIMA,no gas,%,3.B.1.4.5,Horses,Tier 2,Pasture  range and paddock,Warm,,,,,,,,,,,Allocation by climate region,39164823-30A7-47F7-9A2A-4F581F22ECC7,,,
480410,CLIMA,no gas,%,3.B.1.4.5,Horses,CH4 Emissions,,Cool,,,,,,,,,,,Allocation by climate region,A1526B0A-D91D-4E85-9001-312BA5601107,,,
48137,CLIMA,no gas,%,3.B.1.4.5,Horses,CH4 Emissions,,Temperate,,,,,,,,,,,Allocation by climate region,2BD4F694-6594-4ACC-BAFB-CF2E26C59E07,,,
48149,CLIMA,no gas,%,3.B.1.4.5,Horses,CH4 Emissions,,Warm,,,,,,,,,,,Allocation by climate region,81AA32E8-8C84-4094-8848-A4211EB98E3A,,,
482210,CLIMA,no gas,%,3.B.1.4.6,Mules and Asses,Tier 2,Pasture  range and paddock,Cool,,,,,,,,,,,Allocation by climate region,2212D628-9B75-4EC3-8E1A-E0D42C44D5A1,,,
4840,CLIMA,no gas,%,3.B.1.4.6,Mules and Asses,Tier 2,Solid storage and dry lot,Cool,,,,,,,,,,,Allocation by climate region,6A31BC64-760E-4A99-8881-A60DBDC2C202,,,
481510,CLIMA,no gas,%,3.B.1.4.6,Mules and Asses,Tier 2,Daily spread,Cool,,,,,,,,,,,Allocation by climate region,C8277DE3-58DB-444C-B317-E72CC09149C6,,,
481610,CLIMA,no gas,%,3.B.1.4.6,Mules and Asses,Tier 2,Daily spread,Temperate,,,,,,,,,,,Allocation by climate region,F4FD0212-64BC-4B0D-9D01-5B95520698D9,,,
48179,CLIMA,no gas,%,3.B.1.4.6,Mules and Asses,Tier 2,Liquid system,Cool,,,,,,,,,,,Allocation by climate region,4EE695E6-059E-4D09-8A3F-1EB52480182D,,,
4818,CLIMA,no gas,%,3.B.1.4.6,Mules and Asses,Tier 2,Liquid system,Temperate,,,,,,,,,,,Allocation by climate region,07713D7D-660C-44D3-B943-43F6312A682F,,,
483410,CLIMA,no gas,%,3.B.1.4.6,Mules and Asses,Tier 2,Pasture  range and paddock,Temperate,,,,,,,,,,,Allocation by climate region,3B41ED27-CFA8-417F-9F02-E6AB5E9806F2,,,
48475,CLIMA,no gas,%,3.B.1.4.6,Mules and Asses,Tier 2,Solid storage and dry lot,Temperate,,,,,,,,,,,Allocation by climate region,40E98DCA-7A4B-46DB-BC03-E49C18468589,,,
490110,CLIMA,no gas,%,3.B.1.4.6,Mules and Asses,CH4 Emissions,,Cool,,,,,,,,,,,Allocation by climate region,97A777FE-2381-4631-A64C-F46BC2DBEAD5,,,
490910,CLIMA,no gas,%,3.B.1.4.6,Mules and Asses,CH4 Emissions,,Temperate,,,,,,,,,,,Allocation by climate region,5816740D-CA1F-4DC2-A60C-C0D0C344430F,,,
491010,CLIMA,no gas,%,3.B.1.4.6,Mules and Asses,CH4 Emissions,,Warm,,,,,,,,,,,Allocation by climate region,C551F667-895B-48A3-9BBD-748B8153DB5F,,,
49202,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Digesters,Cool,,,Western Europe,,,,,,,,Allocation by climate region,,,,
49337,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Liquid system,Cool,,,Western Europe,,,,,,,,Allocation by climate region,,,,
49838,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Solid storage and dry lot,Cool,,,Western Europe,,,,,,,,Allocation by climate region,,,,
4950,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Other,Cool,,,Western Europe,,,,,,,,Allocation by climate region,,,,
497110,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Pasture  range and paddock,Cool,,,Western Europe,,,,,,,,Allocation by climate region,,,,
49611,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Other,Temperate,,,Western Europe,,,,,,,,Allocation by climate region,,,,
49113,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Burned for fuel or as waste,Cool,,,Western Europe,,,,,,,,Allocation by climate region,,,,
4913,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Burned for fuel or as waste,Temperate,,,Western Europe,,,,,,,,Allocation by climate region,,,,
4915,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Burned for fuel or as waste,Warm,,,Western Europe,,,,,,,,Allocation by climate region,,,,
49643,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Other,Warm,,,Western Europe,,,,,,,,Allocation by climate region,,,,
494210,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Liquid system,Temperate,,,Western Europe,,,,,,,,Allocation by climate region,,,,
50085,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Solid storage and dry lot,Temperate,,,Western Europe,,,,,,,,Allocation by climate region,,,,
5011,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Solid storage and dry lot,Warm,,,Western Europe,,,,,,,,Allocation by climate region,,,,
4980,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Pasture  range and paddock,Temperate,,,Western Europe,,,,,,,,Allocation by climate region,,,,
49175,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Daily spread,Cool,,,Western Europe,,,,,,,,Allocation by climate region,,,,
49202,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Digesters,Cool,,,Eastern Europe,,,,,,,,Allocation by climate region,,,,
49337,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Liquid system,Cool,,,Eastern Europe,,,,,,,,Allocation by climate region,,,,
49838,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Solid storage and dry lot,Cool,,,Eastern Europe,,,,,,,,Allocation by climate region,,,,
4950,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Other,Cool,,,Eastern Europe,,,,,,,,Allocation by climate region,,,,
497110,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Pasture  range and paddock,Cool,,,Eastern Europe,,,,,,,,Allocation by climate region,,,,
49611,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Other,Temperate,,,Eastern Europe,,,,,,,,Allocation by climate region,,,,
49113,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Burned for fuel or as waste,Cool,,,Eastern Europe,,,,,,,,Allocation by climate region,,,,
4913,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Burned for fuel or as waste,Temperate,,,Eastern Europe,,,,,,,,Allocation by climate region,,,,
4915,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Burned for fuel or as waste,Warm,,,Eastern Europe,,,,,,,,Allocation by climate region,,,,
49643,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Other,Warm,,,Eastern Europe,,,,,,,,Allocation by climate region,,,,
494210,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Liquid system,Temperate,,,Eastern Europe,,,,,,,,Allocation by climate region,,,,
50085,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Solid storage and dry lot,Temperate,,,Eastern Europe,,,,,,,,Allocation by climate region,,,,
5011,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Solid storage and dry lot,Warm,,,Eastern Europe,,,,,,,,Allocation by climate region,,,,
4980,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Pasture  range and paddock,Temperate,,,Eastern Europe,,,,,,,,Allocation by climate region,,,,
49175,CLIMA,no gas,%,3.B.1.4.7,Poultry,Tier 2,Daily spread,Cool,,,Eastern Europe,,,,,,,,Allocation by climate region,,,,
51169,CLIMA,no gas,%,3.B.1.4.7,Poultry,CH4 Emissions,,Cool,,,,,,,,,,,Allocation by climate region,522EBC07-6E68-47A9-BAF8-99A5B14DDC44,,,
514610,CLIMA,no gas,%,3.B.1.4.7,Poultry,CH4 Emissions,,Temperate,,,,,,,,,,,Allocation by climate region,CFB92BD0-7F69-49F8-A2B3-5E0E3AEC7FFD,,,
51474,CLIMA,no gas,%,3.B.1.4.7,Poultry,CH4 Emissions,,Warm,,,,,,,,,,,Allocation by climate region,E151D2C1-8C00-4C30-859D-60A29901488C,,,
52081,CLIMA,no gas,%,3.B.1.4.8.1,Rabbit,Tier 2,Solid storage and dry lot,Cool,,,,,,,,,,,Allocation by climate region,9F0B9BF5-DB02-4A42-9BA2-9CFCAA8EAF93,,,
521510,CLIMA,no gas,%,3.B.1.4.8.1,Rabbit,Tier 2,Solid storage and dry lot,Temperate,,,,,,,,,,,Allocation by climate region,7BEA4AF5-D2DF-4EF1-9721-3260F59CD5E6,,,
525710,CLIMA,no gas,%,3.B.1.4.8.1,Rabbit,CH4 Emissions,,Cool,,,,,,,,,,,Allocation by climate region,289A5835-57EC-4069-BED9-B2700DAD1014,,,
52586,CLIMA,no gas,%,3.B.1.4.8.1,Rabbit,CH4 Emissions,,Temperate,,,,,,,,,,,Allocation by climate region,B7F938F4-B902-4F7F-8923-EAB173932968,,,
526110,CLIMA,no gas,%,3.B.1.4.8.2,Reindeer,Tier 2,Pasture  range and paddock,Cool,,,,,,,,,,,Allocation by climate region,A5114BF7-F483-4B29-825B-A1022EE13DAE,,,
5272,CLIMA,no gas,%,3.B.1.4.8.2,Reindeer,CH4 Emissions,,Cool,,,,,,,,,,,Allocation by climate region,866561B3-DC2E-4602-89F3-791F562F454E,,,
5276,CLIMA,no gas,%,3.B.1.4.8.3,Ostrich,Tier 2,Other,Cool,,,,,,,,,,,Allocation by climate region,F7AAF91C-D529-4639-B192-AD5864E3D995,,,
528110,CLIMA,no gas,%,3.B.1.4.8.3,Ostrich,Tier 2,Pasture  range and paddock,Cool,,,,,,,,,,,Allocation by climate region,69B36FAA-92DC-417C-8A6A-141A1EBE3F1F,,,
528310,CLIMA,no gas,%,3.B.1.4.8.3,Ostrich,Tier 2,Solid storage and dry lot,Cool,,,,,,,,,,,Allocation by climate region,36C889F9-5A83-41E3-974B-DFB94277D349,,,
529510,CLIMA,no gas,%,3.B.1.4.8.3,Ostrich,CH4 Emissions,,Cool,,,,,,,,,,,Allocation by climate region,C661ED81-123B-49AF-8DC4-B88818323570,,,
530710,CLIMA,no gas,%,3.B.1.4.8.4,Fur-bearing Animals,Tier 2,Solid storage and dry lot,Cool,,,,,,,,,,,Allocation by climate region,A5ACDAF6-AF4A-4B65-ADCB-338100839845,,,
52998,CLIMA,no gas,%,3.B.1.4.8.4,Fur-bearing Animals,Tier 2,Liquid system,Cool,,,,,,,,,,,Allocation by climate region,3EA91826-1552-4087-B5BD-E9AAB4AEBAF5,,,
53026,CLIMA,no gas,%,3.B.1.4.8.4,Fur-bearing Animals,Tier 2,Other,Cool,,,,,,,,,,,Allocation by climate region,CD5992ED-DC7B-4F94-A1FD-746A195F26A1,,,
53147,CLIMA,no gas,%,3.B.1.4.8.4,Fur-bearing Animals,Tier 2,Solid storage and dry lot,Temperate,,,,,,,,,,,Allocation by climate region,AC8220DE-74D6-4022-BF85-6E0FB9513FF6,,,
53154,CLIMA,no gas,%,3.B.1.4.8.4,Fur-bearing Animals,Tier 2,Solid storage and dry lot,Warm,,,,,,,,,,,Allocation by climate region,434C8238-8D42-49D5-AA08-3815C4AD1E5A,,,
53491,CLIMA,no gas,%,3.B.1.4.8.4,Fur-bearing Animals,CH4 Emissions,,Cool,,,,,,,,,,,Allocation by climate region,1F5A0F69-0FBC-4983-B87F-3246FB90ED12,,,
536110,CLIMA,no gas,%,3.B.1.4.8.5,Other Other Other Livestock,Tier 2,Solid storage and dry lot,Cool,,,,,,,,,,,Allocation by climate region,56CAAF81-CF5E-45FB-BC47-BBD39F01B757,,,
5363,CLIMA,no gas,%,3.B.1.4.8.5,Other Other Other Livestock,Tier 2,Solid storage and dry lot,Temperate,,,,,,,,,,,Allocation by climate region,542CDAF0-C001-47CF-859E-9E08D63024EB,,,
53756,CLIMA,no gas,%,3.B.1.4.8.5,Other Other Other Livestock,CH4 Emissions,,Cool,,,,,,,,,,,Allocation by climate region,52D4613E-53CE-4B60-B97A-02E55B38BA98,,,
53766,CLIMA,no gas,%,3.B.1.4.8.5,Other Other Other Livestock,CH4 Emissions,,Temperate,,,,,,,,,,,Allocation by climate region,11F469E6-D774-4EF4-89AB-BEBA2F5F7D5E,,,
100871,Combustion,no gas,,3.F.1.1,Wheat,Field Burning of Agricultural Residues,,,,,,,,,,,,,Combustion factor,0B7A1B10-8AD3-485D-9A39-4C3F7383DB15,,,
102221,Combustion,no gas,,3.F.1.2,Barley,Field Burning of Agricultural Residues,,,,,,,,,,,,,Combustion factor,1070AA03-CAE9-4278-9396-889DCD94CADE,,,
103491,Combustion,no gas,,3.F.1.3,Maize,Field Burning of Agricultural Residues,,,,,,,,,,,,,Combustion factor,28B431EF-37B4-404C-A114-B01C217A6A69,,,
105681,Combustion,no gas,,3.F.4,Sugar Cane,Field Burning of Agricultural Residues,,,,,,,,,,,,,Combustion factor,52B06892-0FF7-45EC-BF39-7608D2C2242B,,,
230,DIGEST,no gas,%,3.A.1,Bulls,Enteric Fermentation,,,,,,,,60,Tabla 10 A.2,60,Table A.2,Option C,Digestibility of feed,3CF0C9C6-B55C-4644-968B-FEACE2470E67,,,
238,DIGEST,no gas,%,3.A.1,Bulls (older than 2 years),Enteric Fermentation,,,,,,,,60,Tabla 10 A.2,60,Table A.2,Option C,Digestibility of feed,D41391FC-4A41-4427-A30D-009478D3C4B2,,,
247,DIGEST,no gas,%,3.A.1,Bulls under 2 years,Enteric Fermentation,,,,,,,,60,Tabla 10 A.2,60,Table A.2,Option C,Digestibility of feed,0E503911-0849-45BB-A2F1-8E7790D345EF,,,
255,DIGEST,no gas,%,3.A.1,Calves,Enteric Fermentation,,,,,Western Europe,,,65,Tabla 10 A.2,65,Table A.2,Option C,Digestibility of feed,4CEED505-2A01-4FC1-B51C-B4C78FFF2368,,,
255,DIGEST,no gas,%,3.A.1,Calves,Enteric Fermentation,,,,,Eastern Europe,,,65,Tabla 10 A.2,60,Table A.2,Option C,Digestibility of feed,,,,
351101,DIGEST,no gas,%,3.A.1,Cattle,Enteric Fermentation,,,,,,,,,,,,,Digestibility of feed,EUGIRP20160202-20160204-1616.14-ZOhL7j,,,
351,DIGEST,no gas,%,3.A.1,Dairy Cattle,Enteric Fermentation,,,,,Western Europe,,,70,Table 10A.1,60,Table A.1,,Digestibility of feed,F207E80C-350E-4FE1-BFF7-DDB734ED56CB,,,
351,DIGEST,no gas,%,3.A.1,Dairy Cattle,Enteric Fermentation,,,,,Eastern Europe,,,60,Table 10A.1,60,Table A.1,,Digestibility of feed,,,,
53513,DIGEST,no gas,%,3.A.1,Dairy Cows,Enteric Fermentation,,,,,Western Europe,,,70,Table 10A.1,60,Table A.1,Option C,Digestibility of feed,7A745EE9-8BEE-449A-BCC0-285A45B68015,,,
53513,DIGEST,no gas,%,3.A.1,Dairy Cows,Enteric Fermentation,,,,,Eastern Europe,,,60,Table 10A.1,60,Table A.1,Option C,Digestibility of feed,,,,
5579,DIGEST,no gas,%,3.A.1,Growing Cattle,Enteric Fermentation,,,,,,,,60,Tabla 10 A.2,60,Table A.2,Option B,Digestibility of feed,98190C6E-7C58-481D-9FB5-A0D77590C2F3,,,
605100,DIGEST,no gas,%,3.A.1,Mature Dairy Cattle,Enteric Fermentation,,,,,Western Europe,,,70,Table 10A.1,60,Table A.1,Option B,Digestibility of feed,3B212358-4942-4507-A623-D55DFC00BD18,,,
605100,DIGEST,no gas,%,3.A.1,Mature Dairy Cattle,Enteric Fermentation,,,,,Eastern Europe,,,60,Table 10A.1,60,Table A.1,Option B,Digestibility of feed,,,,
6582,DIGEST,no gas,%,3.A.1,Non-Dairy Cattle,Enteric Fermentation,,,,,,,,60-65,,60,Table A.2,,Digestibility of feed,014188AC-8584-448D-887B-E688CC2A48B1,,,
812,DIGEST,no gas,%,3.A.1,Non-dairy Heifers (older than 2 years),Enteric Fermentation,,,,,,,,60,Tabla 10 A.2,60,Table A.2,Option C,Digestibility of feed,F4D07773-7104-4CE8-8093-24C71C5A1008,,,
82110,DIGEST,no gas,%,3.A.1,Non-dairy Young Cattle (1-2 years),Enteric Fermentation,,,,,,,,60,Tabla 10 A.2,60,Table A.2,Option C,Digestibility of feed,DFCF7C55-C9F0-43E3-9558-7E1B7565DE3D,,,
83010,DIGEST,no gas,%,3.A.1,Non-dairy Young Cattle (younger than 1 year),Enteric Fermentation,,,,,,,,60,Tabla 10 A.2,60,Table A.2,Option C,Digestibility of feed,3BA1BCBE-5A64-46C0-88D0-6BC39EDDE6C8,,,
84811,DIGEST,no gas,%,3.A.1,Other Cattle.Dairy cattle,Enteric Fermentation,,,,,Western Europe,,,70,Table 10A.1,60,Table A.1,Option C,Digestibility of feed,F15CBC82-5C47-4415-A336-B40A58CBE5CD,,,
84811,DIGEST,no gas,%,3.A.1,Other Cattle.Dairy cattle,Enteric Fermentation,,,,,Eastern Europe,,,60,Table 10A.1,60,Table A.1,Option C,Digestibility of feed,,,,
859,DIGEST,no gas,%,3.A.1,Other Cattle.Non-dairy cattle,Enteric Fermentation,,,,,,,,60,Tabla 10 A.2,60,Table A.2,Option C,Digestibility of feed,ACB06C7C-A319-4D5C-B6B3-16523D887790,,,
87010,DIGEST,no gas,%,3.A.1,Other cows,Enteric Fermentation,,,,,,,,60,Tabla 10 A.2,60,Table A.2,Option C,Digestibility of feed,E7F5C49F-CEB3-47EF-8B3F-FA1DFEC7F9EA,,,
88210,DIGEST,no gas,%,3.A.1,Other Mature Cattle,Enteric Fermentation,,,,,,,,60,Tabla 10 A.2,60,Table A.2,Option B,Digestibility of feed,13F80EAC-D6EA-4D60-AFF1-23BD6689F617,,,
92810,DIGEST,no gas,%,3.A.1,Suckler Cows,Enteric Fermentation,,,,,Western Europe,,,70,Table 10A.1,60,Table A.1,Option C,Digestibility of feed,E1913FAF-F888-4BFA-8F9E-09D5062BFDD4,,,
92810,DIGEST,no gas,%,3.A.1,Suckler Cows,Enteric Fermentation,,,,,Eastern Europe,,,60,Table 10A.1,60,Table A.1,Option C,Digestibility of feed,,,,
93810,DIGEST,no gas,%,3.A.1,Young Cattle,Enteric Fermentation,,,,,,,,65,Tabla 10 A.2,60,Table A.2,Option C,Digestibility of feed,BAE81E59-44B9-4919-86CC-F2E20291973B,,,
1031,DIGEST,no gas,%,3.A.2,Animals for replacement,Enteric Fermentation,,,,,,,,,,60,Table B.7,,Digestibility of feed,D16D47DD-CE99-4AF0-A2ED-0CC698365F53,,,
105211,DIGEST,no gas,%,3.A.2,Growing Lambs,Enteric Fermentation,,,,,,,,,,60,Table B.8,,Digestibility of feed,47955CF7-A690-4084-9E74-6225D3892694,,,
1069,DIGEST,no gas,%,3.A.2,Lambs,Enteric Fermentation,,,,,,,,,,60,Table B.9,,Digestibility of feed,12E56BD9-8373-4CDC-B753-053A4DF0EEC8,,,
1090,DIGEST,no gas,%,3.A.2,Mature Ewes,Enteric Fermentation,,,,,,,,,,60,Table B.10,,Digestibility of feed,7E9283DF-5FF1-450F-BB97-9C33317BC17B,,,
11202,DIGEST,no gas,%,3.A.2,Other mature Sheep,Enteric Fermentation,,,,,,,,,,60,Table B.11,,Digestibility of feed,AB413754-4FBF-497C-A94B-B514A56C7BF8,,,
11551,DIGEST,no gas,%,3.A.2,Sheep,Enteric Fermentation,,,,,,,,,,60,Table B.12,,Digestibility of feed,2F510831-ADA0-448B-87BA-7AEAEB63D29A,,,
14474,DIGEST,no gas,%,3.A.3,Boars,Enteric Fermentation,,,,,,,,50-70%,Table 10.2,75,Table B.2,,Digestibility of feed,7CBEE6AE-4DA3-480C-96AA-1E76C720A510,,,
14546,DIGEST,no gas,%,3.A.3,Breeding Pigs,Enteric Fermentation,,,,,,,,70-80%,Table 10.2,75,Table B.2,,Digestibility of feed,339BD182-F121-49B3-9F86-04E91F319043,,,
146310,DIGEST,no gas,%,3.A.3,Fattening Pigs,Enteric Fermentation,,,,,,,,80-90%,Table 10.2,75,Table B.2,,Digestibility of feed,806B19C3-6FDF-45DD-9F49-E779310200B4,,,
146810,DIGEST,no gas,%,3.A.3,Gilts in Pig,Enteric Fermentation,,,,,,,,80-90%,Table 10.2,75,Table B.2,,Digestibility of feed,987FDE7E-E5BE-4896-A64D-5B7354474771,,,
14752,DIGEST,no gas,%,3.A.3,Gilts not yet Served,Enteric Fermentation,,,,,,,,80-90%,Table 10.2,75,Table B.2,,Digestibility of feed,2B5F02DA-1671-4344-B901-DD20F4B8CBC7,,,
148610,DIGEST,no gas,%,3.A.3,Other Sows for Breeding,Enteric Fermentation,,,,,,,,70-80%,Table 10.2,75,Table B.2,,Digestibility of feed,9C2B19A3-D0F2-4213-B421-C54CC80FB208,,,
149710,DIGEST,no gas,%,3.A.3,Pigs over 20 kg,Enteric Fermentation,,,,,,,,70-80%,Table 10.2,75,Table B.2,,Digestibility of feed,AC79EAAC-E984-4E04-AB7F-EA23DAA4D43C,,,
15047,DIGEST,no gas,%,3.A.3,Pigs under 20 kg,Enteric Fermentation,,,,,,,,80-90%,Table 10.2,75,Table B.2,,Digestibility of feed,2BFED8FC-85A6-4431-BDB0-02388C8CA309,,,
151610,DIGEST,no gas,%,3.A.3,Sows in Pig,Enteric Fermentation,,,,,,,,70-80%,Table 10.2,75,Table B.2,,Digestibility of feed,E344D57E-8133-4260-8F32-588C473C59B2,,,
15241,DIGEST,no gas,%,3.A.3,Swine,Enteric Fermentation,,,,,,,,70-80%,Table 10.2,75,Table B.2,,Digestibility of feed,6721A482-46C6-4A7D-B4C5-F7912B8D663C,,,
188410,DIGEST,no gas,%,3.A.4.1,Buffalo,Enteric Fermentation,,,,,,,,55,Table 10A.3,55,Table A.3,,Digestibility of feed,4EEAF7AE-5BEC-49AC-833B-285341A836DC,,,
1913,DIGEST,no gas,%,3.A.4.3,Deer,Enteric Fermentation,,,,,,,,,,,,,Digestibility of feed,F275CB5E-7FEF-467B-947A-683008976CB4,,,
19397,DIGEST,no gas,%,3.A.4.4,Goats,Enteric Fermentation,,,,,,,,,,,,,Digestibility of feed,AB052127-4014-42BE-B5F1-81DB1FCFD557,,,
205810,DIGEST,no gas,%,3.A.4.5,Horses,Enteric Fermentation,,,,,,,,,,,,,Digestibility of feed,E6955BD4-EAB3-4F68-850D-DACFFBD33EAA,,,
21693,DIGEST,no gas,%,3.A.4.6,Mules and Asses,Enteric Fermentation,,,,,,,,,,,,,Digestibility of feed,861F507D-A480-4DB1-95C6-06F1638E7FCA,,,
